ROW_ID, MENU_ID, MENU_NAME, TYPE, LAST_UPDATE_DATE, LAST_UPDATED_BY, LAST_UPDATE_LOGIN, CREATION_DATE, CREATED_BY, USER_MENU_NAME, DESCRIPTION
AAA/JXAGXAAAUfkABX,78364,OPI_DBI_MFG_MGMT_PTP,,25.02.04,2,0,06.01.04,2,Manufacturing Management: Performance To Plan,Manufacturing Management: Performance To Plan
AAA/JXAGXAAAUfkABZ,78366,OPI_DBI_CST_MGMT_VAR,,25.02.04,2,0,13.02.04,2,Product Cost Management Cost Variance Reports,Product Cost Management Cost Variance Reports
AAA/JXAGXAAAUfkABa,78367,OPI_DBI_MFG_MGMT_RES,,08.03.04,120,0,04.03.04,2,(Obsolete) Manufacturing Management: Resource Utilization,Obsolete (Manufacturing Management: Resource Utilization) for DBI 7.0. Kept only for dummy entry in Supply Chain Manager menu.
AAA/JXAGXAAAUfkABb,78368,OPI_DBI_CST_MGMT_UTL,,25.02.04,2,0,13.02.04,2,Product Cost Management Resource Utilization Reports,Product Cost Management Resource Utilization Reports
AAA/JXAGXAAAUfkABc,78369,OPI_DBI_MFG_MGMT_SCR,,25.02.04,2,0,06.01.04,2,Manufacturing Management: Scrap,Manufacturing Management: Scrap
AAA/JXAGXAAAUfkABd,78370,OPI_DBI_CST_MGMT_MAR,,25.02.04,2,0,13.02.04,2,Product Cost Management Product Gross Margin Reports,Product Cost Management Product Gross Margin Reports
AAA/JXAGXAAAUfkABe,78371,ISC_DBI_PLAN_MGMT_FUNC1,,14.01.05,120,0,06.01.04,2,Plan Management Functional Area 1,Planned Revenue and Margin Reports
AAA/JXAGXAAAUfkABf,78372,ISC_DBI_PLAN_MGMT_FUNC2,,14.01.05,120,0,06.01.04,2,Plan Management Functional Area 2,Planned Performance Reports
AAA/JXAGXAAAUfkABh,78374,ISC_DBI_SHIP_KPIS,,14.01.05,120,0,06.01.04,2,Shipping KPIs,Menu for Shipping KPI functions
AAA/JXAGXAAAUfkABg,78373,ISC_DBI_DAILY_SCI_MENU,,14.01.05,120,0,06.01.04,2,Daily Supply Chain Intelligence,Daily Supply Chain Intelligence Main Menu
